roc_auc,accuracy,precision,sensitivity,specificity
0.3928571428571428,0.7222222222222222,0.8,0.8571428571428571,0.25
0.6964285714285714,0.7777777777777778,0.7777777777777778,1.0,0.0
0.6875,0.7222222222222222,0.7647058823529411,0.9285714285714286,0.0
0.5267857142857142,0.7777777777777778,0.8125,0.9285714285714286,0.25
0.5,0.7777777777777778,0.7777777777777778,1.0,0.0
0.5178571428571428,0.7777777777777778,0.7777777777777778,1.0,0.0
0.3214285714285714,0.7222222222222222,0.7647058823529411,0.9285714285714286,0.0
0.4732142857142857,0.7777777777777778,0.8571428571428571,0.8571428571428571,0.5
0.15178571428571427,0.7222222222222222,0.7647058823529411,0.9285714285714286,0.0
0.4375,0.7777777777777778,0.7777777777777778,1.0,0.0
0.24107142857142858,0.6111111111111112,0.7333333333333333,0.7857142857142857,0.0
0.3928571428571428,0.6666666666666666,0.75,0.8571428571428571,0.0
0.7410714285714286,0.7777777777777778,0.8125,0.9285714285714286,0.25
0.6339285714285714,0.7222222222222222,0.7647058823529411,0.9285714285714286,0.0
